#separator:tab
#html:true
What is a student pilot required to have in their possession to act as PIC?	Student pilot certificate, third class medical certificate, photo ID, CFI solo endorsement
Follow up reports to NTSB after how long?<br>NTSB 830	The operator must file a report on NTSB Form 6120.1 or 6120.2, available from NTSB Field Offices or from the NTSB, Washington, DC, 20594:<br><br>Within 10 days after an accident;<br><br>When, after 7 days, an overdue aircraft is still missing;<br><br>A report on an incident for which notification is required as described in subparagraph a(1) must be filed only as requested by an authorized representative of the NTSB<br><br>Each crewmember, if physically able at the time the report is submitted, must attach a statement setting forth the facts, conditions, and circumstances relating to the accident or incident as they appeared. If the crewmember is incapacitated, a statement must be submitted as soon as physically possible
Where to file a report with the NTSB?<br>NTSB 830	The operator of an aircraft must file with the NTSB Field Office nearest the accident or incident any report required by this section
Regarding the preservation of an incident or accident site. Exceptions? <br>NTSB	The site must be preserved, and therefore nothing moved, for investigators to see things as they impacted<br><br>Exceptions include:<br><br>Protecting mail<br><br>Protecting cargo<br><br>Protecting documents
Night definition used when determining currency to carry passengers at night<br>FAR 61.57	The time beginning one hour after sunset and extending to one hour before sunrise&nbsp;
This definition of night is used to determine when you need position lights<br>FAR 91.209	Sunset to sunrise&nbsp;
Define and explain the acronym REIL	Runway End Identifier Lights. Provides rapid and positive identification of the end of the runway. The system consists of two synchronized, unidirectional strobe lights. The lights are positioned on each corner of the runway landing threshold, facing the approach area and aimed at an angle of 10 to 15 degrees.
What are eustachian tubes?&nbsp;	Eustachian tubes connect the middle ears to the back of the throat. They help drain fluid and equalize the air pressure inside your ears. Sometimes your Eustachian tubes can become blocked due to colds, allergies or infections.
What are the recommended waiting times before flying after scuba diving?<br>AIM 8-1-2d	12 hours before a flight below 8,000ft MSL after a dive not requiring controlled ascent.&nbsp;<br>24 hours before a flight below 8,000ft MSL after a dive requiring controlled ascent.&nbsp;<br>Any flight over 8,000ft MSL should be done no sooner than 24 hours after a dive to avoid decompression sickness.&nbsp;
When is a Mode C transponder required for a VFR pilot?	"<div><ul><li style=""text-align: left;"">Within the Mode C veil (30nm radius from a primary Class B airport)</li><li style=""text-align: left;"">Within the lateral bounds and above Class B and C airspace up to 10,000ft MSL</li><li style=""text-align: left;"">Anytime you are above 10,000ft MSL excluding the airspace at and below 2,500 feet AGL</li></ul></div>"
ADIZ transponder requirements and exceptions	Mode C or Mode S transponder requirement for operations into, within or across the contiguous US ADIZ boundary. Balloons, gliders and aircraft not equipped with an engine-driven electrical system are excepted from this requirement.
As of January 1, 2020, what is the requirement for ADS-B out capability&nbsp;	ADS-B out (broadcast) is required on all aircraft operating in airspace where a transponder is required (Balloons, gliders and aircraft not originally certificated with an elec system are exempt from the mode-C ADS-B requirement)<br><br><ul><li>Class A, B, and C airspace;</li><li>Class E airspace at or above 10,000 feet msl, excluding airspace at and below 2,500 feet agl;</li><li>Within 30 nautical miles of a Class B primary airport (the Mode C veil);</li><li>Above the ceiling and within the lateral boundaries of Class B or Class C airspace up to 10,000 feet;</li><li>Class E airspace over the Gulf of Mexico, at and above 3,000 feet msl, within 12 nm of the U.S. coast.</li></ul>
Which aircraft are exempted from the transponder and ADS-B out requirements?	Transponder and ADS-B Out requirements do not apply to any aircraft that was not originally certificated with an electrical system, or that has not subsequently been certified with such a system installed, including balloons and gliders, may operate outside class B and C airspace and below the altitude of the ceiling of a Class B or Class C airspace area designated for an airport, or 10,000 feet MSL, whichever is lower
What must a private pilot have to tow a glider? Where can more info be found (provide FAR)?	Holds private, commerial or ATP with a category rating in powered aircraft&nbsp;<br>Has at least 100 hrs of PIC in the same category, class and type (if required)<br>Logbook endorsement from an authorized instructor that they have received ground and flight training for glider operations<br>Has within the last 24 months, completed at least 3 actual or simulated tows
Explain the seatbelt regulation. Provide the FAR for more info.&nbsp;	<ul><li>Pilot must brief passengers about the safety belts before flight.&nbsp;</li><li>Everyone must be notified about using seatbelts while moving on the surface, and during takeoff and landing.&nbsp;</li><li>Pilot must be belted in at all times. </li><li>If a shoulder belt is installed, it must be worn at all times except while enroute.</li></ul>91.105 (pilot requirement and lapbelt/shoulder harness)<br>91.107 (passenger requirement and briefing)<br>
Describe the PPP (3P) model and when it is used?	Perceive, Process, Perform (3P). It is a systematic decision making process which can be used in all phases of flight. An additional step is to Evaluate the outcome of the decision and the action which resulted from that decision.&nbsp;
In the Perceive, Process, Perform model, what is the sub-process which is used in the Perceive step?	"PAVE checklist. Pilot, Aircraft, enVironment, External Pressures. For each element, ask, ""What could hurt me, my passengers or my aircraft?"""
In the Perceive, Process, Perform model, what is the sub-process which is used in the Process step?	"CARE checklist.&nbsp;Consequences, Alternatives,
Reality, External factors.&nbsp;<br><ul><li>Consequences—departing after a full workday creates
fatigue and pressure&nbsp;</li><li>Alternatives—delay until morning; reschedule
meeting; drive&nbsp;</li><li>Reality —dangers and distractions of fatigue could
lead to an accident&nbsp;</li><li>External pressures—business meeting at destination
might influence me</li></ul>"
CARE checklist. Which model does it apply to and which step in that model?	<div>As part of the 3P model (Process step)</div><ul><li>Consequences—departing after a full workday creates fatigue and pressure&nbsp;<br></li><li>Alternatives—delay until morning; reschedule meeting; drive&nbsp;</li><li>Reality —dangers and distractions of fatigue could lead to an accident&nbsp;</li><li>External pressures—business meeting at destination might influence me</li></ul>
TEAM checklist. Which model does it apply to and which step in that model?	"<div>As part of the 3P model (Perform step)</div><ul><li>Transfer—Should this risk decision be transferred to
someone else (e.g., do you need to consult the chief
flight instructor?)&nbsp;</li><li>Eliminate—Is there a way to eliminate the hazard?&nbsp;</li><li>Accept—Do the benefits of accepting risk outweigh
the costs?&nbsp;</li><li>Mitigate—What can you do to mitigate the risk?</li></ul>"
What is a VOR radial?	It's a line of magnetic bearing extending from a vor.&nbsp;
Frontolysis	a dissipating weather front (cold frontolysis, warm frontolysis, stationary frontolysis)
Frontogenesis	a strengthening weather front (cold frontogenesis, warm frontogenesis, stationary frontogenesis)
How are VOR navaids classified?	Terminal, low, high
RAIM	receiver autonomous integrity monitoring is a self monitoring function performed by the GPS to ensure adequate health of position information for navigational use. Loss of raim integrity may mean too few satellites are available for accurate location, altitude and/or speed. Caution should be used when navigating using GPS as some GPS units do not contain RAIM capability, so signal integrity can degrade without the pilot being aware.&nbsp;
Winds aloft charts are updated how often?	4 times daily
Engine restart inflight procedure&nbsp;	ABCDE<br>A - Airspeed<br>B - Best field&nbsp;<br>C - Checklist&nbsp;<br>---<br>Mixture - rich<br>Fuel tanks - switch<br>Fuel pump - on<br>Carb heat - on<br>---<br>D - Declare emergency (to ATC, on CTAF or on guard)<br>E - Execute&nbsp;
Short field, obstacle clearance	flaps 25<br>full engine power prior to brakes release<br>accelerate to 55 KIAS (weight depending)<br>on liftoff, accelerate to 60 KIAS<br>accelerate to best flaps up angle climb speed 64 KIAS<br>flaps retract slowly once obstable cleared&nbsp;<br>accelerate to best rate climb speed 76 KIAS
Vr (PA28)	60 KIAS
Va (Archer). Describe. What is the Va at empty? What is the Va at max gross? Why is Va higher when the airplane is heavier?	Va, or manuevering speed is the maximum speed at which full deflection of the flight controls can be achieved without risking damage to the airframe.&nbsp;<br>113 KIAS at max gross (2550 lbs)<br>89 KIAS at empty weight (1634 lbs)<br>*The airplane is more vulnerable to airframe damage the lighter it is. This is because a heavier airplane is more difficult to maneuver than a lighter one due to its increased mass.<br>
Vx (Archer)	Vx or best angle speed, is the speed with which the airplane will gain the most altitude in the shortest distance.&nbsp;<br>64 KIAS (Archer)
Vy (Archer)	Vy or best rate of climb speed is the speed at which the airplane will gain the most altitude in a given time.<br>76 KIAS (Archer)
Vfe (Archer)	Vfe or max flaps extended speed is the maximum speed the flaps can be left fully extended without risking damage. Vfe is the top of the white arc.&nbsp;<br>102 KIAS (Archer)
Vne (Archer)	Vne or never exceed speed is the red line on the ASI. Any amount of turbulence at this airspeed can easily overstress the airplane.&nbsp;<br>154 KIAS (Archer)
Vno (Archer)	Vno or&nbsp;maximum speed for normal operation or the maximum structural cruising speed, is the top of the green arc/bottom of the yellow arc. Beyond this speed, overstressing the airplane can cause permanent damage to the airframe. Only exceed this speed (top of green arc) in clean air.&nbsp;<br>125 KIAS (Archer)
V<sub>s0&nbsp;</sub>(Archer). Describe it. How is it dipicted on the ASI?	V<sub>s0&nbsp;</sub>is the absolute minimum airspeed with full flaps. Bottom of the white arc<br>49 KIAS (Archer)
Define V<sub>s1&nbsp;</sub><br>How is it depicted on the ASI<br>What is the Archers V<sub>s1&nbsp;</sub>	V<sub>s1&nbsp;</sub>is the minimum airspeed without flaps extended/in a clean configuration. Bottom of the green arc.&nbsp;<br>54 KIAS (Archer)
DMMS	DMMS or Demonstrated Minimum Maneuvering Speed is a theoretical airspeed minimum which allows for the greatest safety cushion while on approach or departure.&nbsp;<br>Calculate by multiplying 1.404 * Vs1 (clean)<br>76 KIAS (Archer)
Class A weather minimums (VFR)	None. Must be on instrument flight plan, be instrument rated and in an airplane which is instrument equipped.&nbsp;
Class B weather minimums (VFR)	3 statute miles, clear of clouds&nbsp;
Class C weather minimums (VFR)	3 statute miles, 152 (1000 above, 500 below, 2000 horizontal)
Class D weather minimums (VFR)	3 statute miles, 152 (1000 above, 500 below, 2000 horizontal)
Class E weather minimums (VFR)	<div style='text-align: left;'> <br>::: Less than 10,000ft MSL<br>- 3 statute miles, 152 (1000 above, 500 below, 2000 horizontal)<br>::: At or above 10,000ft MSL<br>- 5 statute miles, (111) 1000 below, 1000 above, 1 statute mile horizontal
Class G weather minimums (VFR)	<div style='text-align: left;'> <br>::: 1200ft or less AGL<br>-Day - 1sm, clear of clouds<br>-Night - 3sm, 152 (1000 above, 500 below, 2000 horizontal)<br><br>::: More than 1200 AGL, less than 10000 MSL<br>-Day - 1sm, 152 (1000 above, 500 below, 2000 horizontal)<br>-Night - 3sm, 152 (1000 above, 500 below, 2000 horizontal)<br><br>::: More than 1200 AGL, at or above 10000 MSL<br>- 5sm, 111 (1000 above, 1000 below, 1sm lateral)<br><br>
IMSAFE checklist. Which acronym does it apply to?	Illness, Medication Stress, Alcohol, Fatigue, Eating/Emotional.<br>It applies to the P letter in the PAVE checklist (Pilot/PIC)
PAVE	Pilot, Aircraft, Environment, External Pressures
DECIDE	*Continuous loop*<br>Detect a change has occured<br>Estimate the need to counter the change<br>Choose a desirable outcome<br>Identify actions to successfully control the change<br>Do the necessary action<br>Evaluate the effects of the action; is further action required?
CARE	"CARE: Review hazards and Evaluate risks<br>Process a hazard by
using the CARE checklist of: Consequences, Alternatives,
Reality, External factors"
TEAM	"TEAM: Choose and implement risks controls<br>Perform risk management by using the
TEAM checklist of: Transfer, Eliminate, Accept, Mitigate"
SAFETY	S - Seat belts fastened for taxi, takeoff, landing<br>Shoulder harness fastened for takeoff, landing<br>Seat position adjusted and locked in place<br><br>A - Air vents (location and operation)<br>All environmental controls (discussed)<br>Action in case of any passenger discomfort<br><br>F - Fire extinguisher (location and operation)<br><br>E - Exit doors (how to secure; how to open)<br>Emergency evacuation plan in case of crash landing, prop open door<br><br>T - Traffic (scanning, spotting, notifying pilot)<br>Talking, (“sterile flight deck” expectations)<br><br>Y - Your questions? (Speak up!)
ABCDE	Airspeed!<br>Best field<br>Checklist<br>Declare emergency (ctaf, guard, atc)<br>Execute emergency landing
TAWS	Terrain Awareness and Warning System
WAAS	Wide Area Augmentation System provides incredibly high precision navigation by augmenting GPS in most of North America
SPARROW	Supplements<br>Placcards<br>Airworthiness certificate<br>Registration (36 months)<br>Radio Operator<br>Operators handbook<br>Weight and Balance<br><br>
A1TAPE	Annual<br>100 hour<br>Transponder<br>Altimiter (IFR)<br>Pitot/Static (IFR)<br>ELT
Describe Macho. Antidote?	"""I can do it"". Can lead to taking unnecessary risks.<br>Antidote: Taking chances is foolish"
Name the 5 hazardous attitudes?	AMIIR<br>anti-authority, macho, impulsivity, invulnerability, resignation&nbsp;
Describe Resignation. Antidote?	"""What's the use"". <br>A passive hazardous attitude. A pilot will not address problems effectively in a timely manner.&nbsp;<br>Antidote: I am not helpless, I can make a difference"
Describe Impulsivity. Antidote?	"""Do it quickly!"" <br>Antidote: Not so fast... think first!"
Describe anti authority. Antidote?	"""Don't tell me what to do""<br>Antidote: Follow the rules, they are usually right.&nbsp;"
Describe Invulnerability. Antidote?	"""It won't happen to me""<br>Antidote: It could happen to me.&nbsp;"
What are the 4 primary risk areas of a flight?	PAVE. Pilot, aircraft, environment, external pressures.&nbsp;
List the types of fog	Radiation fog<br>Advection fog<br>Upslope fog<br>Evaporation fog<br>Ice fog
Describe radiation fog	"Radiation fog (ground fog) forms over low lying terrain on clear, calm, humid nights.&nbsp;<br><br>Mnemonic: Earth """"radiates"""" away heat overnight while the sun is down allowing surface temperatures to fall meeting the dewpoint of low lying air. "
Describe advection fog	Advection fog forms when a low layer of warm, moist air moves over a cold surface. Often occurs over water or when warm air is blown over snow covered ground&nbsp;
Describe upslope fog	Forms when moist, stable air is forced up a sloping land mass to where the air becomes saturated and condensation forms. Requires wind. Usually seen in the winter. Orographic cloud. 
Describe evaporation fog (two types)	"Steam: Cold air moves over warm water. Steamy water; ""Seasmoke""<br>Frontal: Raindrops evaporate into cooler, drier air near the ground.&nbsp;"
Describe ice fog	Occurs in extremely cold weather (below 25F) where water vapor sublimates directly into ice crystals causing dense fog. Can be blinding to pilots flying into the sun.
What are the elements of the 5P model?	Plan, plane, pilot, passengers, programming
Name some relevant areas of the Plan element of the 5P model?	Plan can be thought of as the flight planning portion of the model. Fuel, notams, ATC delays, alternates, runway lengths, takeoff/landing distances, weather.&nbsp;
Name some relevant areas of the Plane element of the 5P model?	This relates to airworthiness. Verify mechanical fitness, system familiarity, paperwork, databases updated and valid.&nbsp;
How is the pilot aspect of the 5P model important?	The pilot is vital to safely completing a flight, especially when single pilot. IMSAFE should be used to evaluate pilot fitness.&nbsp;
How does the passenger aspect of the 5P model affect safety?	Address passenger fears/apprehension when it comes to the safety of air travel and turbulence. Brief passengers about the likelihood of a diversion in case of weather or some other safety related issue. Ensure passengers do not influence the go/no go decision. (External pressures of the PAVE checklist)
Class A weather minimums? Are private pilots allowed in Class A? What do pilots need to operate in Class A?	No minimums<br>Private pilots are not allowed in Class A, unless:<br>1. They have an instrument rating<br>2. They are on an instrument flight plan<br>3. The airplane is instrument rated
Class B weather minimums	3sm Clear of Clouds
Class C weather minimums	3sm 152 (1,000 above, 500 below, 2,000 lateral)
Class D weather minimums	3sm 152 (1,000 above, 500 below, 2,000 lateral)
Class E weather minimums	<div style='text-align: left;'> <br>Below 10,000ft MSL: 3sm 152 (1,000 above, 500 below, 2,000 lateral)<br>At or above 10,000ft MSL: 5sm 111 (1,000 above, 1,000 below, 1sm lateral)
Class G weather minimums 1,200ft or less AGL	<div style='text-align: left;'> <br>Day: 1sm CoC<br>Night: 3sm 152 (1,000ft above, 500 below, 2,000ft lateral)
Class G weather minimums more than 1,200ft AGL but less than 10,000ft MSL	<div style='text-align: left;'> <br>Day: 1sm 152 (1,000ft above, 500 below, 2,000ft lateral)<br>Night: 3sm 152 (1,000ft above, 500 below, 2,000ft lateral)
Class G weather minimums more than 1,200ft AGL and at or above 10,000ft MSL	<div style='text-align: left;'> <br>5sm 1,000ft above, 1,000ft below, 1sm lateral
Class C/D speed restriction and within what physical area around the airport? (91.117b)	no person may operate an aircraft at or below 2,500 feet above the surface within 4 nautical miles of the primary airport of a Class C or Class D airspace area at an indicated airspeed of more than 200 knots 
What airspace is SVFR permitted?	Aircraft operating in or transitioning Class B, C, D, E when the primary airport is reporting VFR but the pilot advises that basic VFR cannot be maintained. 91.157
What are the SVFR weather minimums?	Unlike basic VFR minimums, which is 3sm and 1,000ft ceilings, SVFR reduces VFR minimums to basically Class G sub-1200ft AGL; 1sm CoC
Where may SVFR be conducted?	SVFR operations may be authorized for aircraft operating in or transiting a Class B, Class C, Class D, or Class E surface area, below 10,000ft MSL, when the primary airport is reporting VFR but the pilot advises that basic VFR cannot be maintained. SVFR condition based on weather at landing/departing airport. 
When do Instrument Meteorological Conditions (IMC) exist?	When VMC conditions do not exist; such as when visibility and/or ceilings fall below the VFR minimum for the airspace you're operating in. 
Fixed wing requirements for SVFR during the day?	ATC clearance (before entering controlled airspace)<br>Maintain clear of clouds<br>At least 1sm visiblity at airport of intended departure/arrival&nbsp;
Fixed wing requirements for SVFR at night?	All day requirements+<br>- Pilot is instrument rated<br>- Aircraft is instrument equipped
In order to operate in controlled airspace with below VFR weather reported, what must a pilot have?	A pilot must have ATC clearance to operate inside controlled airspace under SVFR minimums
From whom can an SVFR clearance be garnered?	Tower, approach/center or a flight service stations (FSS)
Where is the general area where SVFR operations are conducted?&nbsp;	SVFR operations may be authorized for aircraft operating in or transiting a Class B, Class C, Class D, or Class E surface area when the primary airport is reporting VFR but the pilot advises that basic VFR cannot be maintained.
GPWS	Ground Proximity Warning System. EGPWS is a modern version of TAWS
FSDO? What activities do FSDO staff enguage in?	Flight Standards District Office is an FAA field office which serves a geographic area staffed with Flight Standards personnel.<br><br>Activities include general surveillance of operational safety, certification of airmen and aircraft, accident prevention, investigation, enforcement, etc.<br><ul><a></a><br></ul>
What privileges and limitations apply to a private pilot?	<div style='text-align: left;'> <br>61.113<br>No person who holds a private pilot certificate may act as a pilot-in-command of an airctaft that is carrying passengers or property for compensation or hire.<br><br>a. may act as PIC in connection with business if it is incidental<br><br>b. may not pay less that pro rata share of expenses with passengers (limited to fuel, oil, airport expenditure, rental fees)<br><br>c. my act as PIC of A/C used in passenger-carrying for charitable organizations<br><br>d. may be reimbursed for search and locations operations<br><br>e. may demonstrate A/C in flight to buyer if pilot is a salesman and has @ least 200 hours logged time<br><br>f. may act as PIC of A/C towing glider if they meet requirements of 61.69 (100 hrs pic in sm cat+class,logbook endorsement and proper training,currency requirments)
What are some examples of major alternations? (Appendix A Part 43)	Wings<br>Tail surface<br>Fuselage<br>Engine mounts<br>Control systems<br>Landing Gear<br>Hull/Floats<br>Elements of an airframe (spars, ribs, fittings, shock absorbers, bracing, cowling)<br>*Changes to the empty weight or empty balance of the airframe which result in an increase to the maximum certificated weight
What are some examples of preventive maintenance as described in Appendix A Part 43(c)	Tires<br>Landing gear strut add/change oil or air<br>Landing gear wheel bearings<br>Lubrication not requiring disassembly&nbsp;<br>Replenishing hydraulic fluid&nbsp;<br>Seats or seat parts not involving disassembly of any primary structure<br>Replacing light bulbs<br>Replacing/cleaning spark plugs<br>Replacing any hose EXCEPT hydraulic&nbsp;<br>Replacing/cleaning fuel or oil filters<br>Replacing or servicing batteries<br><br>In general, <u>replacement</u> of items with <u>originally approved parts</u> is permitted.&nbsp;<br>Servicing or repairing the aircraft in a way which does not affect weight and balance computation and doesn't involve disassembly or affect an aircraft system.&nbsp;
What kind of mechanic can perform and sign on an annual inspection?	An A&amp;P mechanic with Inspection Authorization (IA)
Required inspections to be performed on aircraft? (VFR and IFR)	<ul><li>Annual 12mo</li><li>VOR (30 day, IFR)</li><li>100 hour (if for hire)</li><li>Altimiter/Pitot Static (24mo, IFR)</li><li>Transponder (24mo)</li><li>ELT (12 mo, 1/2 battery, 1hour use)</li><li>ADs</li></ul>
3 types of briefings&nbsp;	Standard, abbrieviated, outlook
Aircraft registration valid for?<br>Temporary registration valid for?	3 years, temporary valid for 90 days from signature date
3P	Perceive, Process, Perform<br>Continual decision making process&nbsp;
ADM: RM	Risk Management
ADM: TM	Task Management
ADM: AM	Automation Management
Required equipment for Day and Night VFR	Compass<br>Altimiter<br>Airspeed Indicator<br>Oil temp<br>Oil pressure<br>Manifold pressure<br>Engine temperature&nbsp;<br>Tachometer<br>Fuel gauge&nbsp;<br>Landing gear position indicator&nbsp;<br>Anti collision light<br>Seatbelts/Shoulder harnesses&nbsp;<br>ELT<br>Survival equipment (if for hire)<br><br>Night:<br>Anticollision light<br>Position lights<br>Landing light (if for hire)<br>Source of electricity&nbsp;<br>Fuses (spare set, or 3 of each type)<br><br>
Oxygen requirements	Required flight crew members must use supplemental oxygen:<br><ul><li>If operating between 12,500ft MSL and 14,000ft MSL for greater than 30 minutes.</li><li>At all times operating above 14,000ft MSL</li></ul><div>Passengers must have oxygen <u>available</u> above 15,000ft MSL</div>
A private pilot is allowed to perform what kind of maintenance on an airplane? What FAR provides more information?	Preventative maintenance: Replace bulbs, reflectors, and lenses of position and landing lights. Replace or clean spark plugs and set spark plug gap clearance. Replace any hose connection, except hydraulic connections. Replace and service batteries.<br>FAR 43.7
Privileges of a pilot flying under basic med? Provide FAR?	Fly an aircraft under 6,000lbs<br>Fly an aircraft certificated to carry no more than 6 persons<br>Fly with 5 or fewer passengers<br>Below 250kts<br>Below 18,000ft MSL<br>Fly within the USA<br>No flying for compensation or hire<br>BasicMed info is available in an Advisory Circular AC68-1A
Limitations of a pilot flying under BasicMed? Provide FAR?	<ul><li>Valid US driver license</li><li>Held a medican any time after July 14, 2006</li><li>Complete CMEC</li><li>Get physical exam</li><li>BasicMed online course</li><li>BasicMed info is available in an Advisory Circular AC68-1A</li></ul>
Dry adiabatic lapse rate?	5.5F per 1,000ft elevation<br>(9.8C per km elevation)<br>
Wet adiabatic lapse rate (saturated air)? (Celcius per 1,000ft)	3C per 1,000ft
Dry adiabatic lapse rate (unsaturated air)? (Celcius per 1,000ft)	1.5C per 1,000ft
Which would cause engine oil temp and cylinder head temp to exceed normal operating range?	Using a fuel with a lower than allowable fuel octane
What type of fuel can be substituted for an aircraft if the recommeneded octain is unavailable?	The next higher octane level&nbsp;
How often are chart supplements revised?	Every 8 weeks
ATIS	Automated Terminal Information Service
AWOS	Automated Weather Observation System
ASOS	Automated Surface Observation System
METAR	Meteorological Terminal Air Report
TAF	Terminal Area Forecast&nbsp;
SIGMET. Explain	Significant Meteorological Information<br>Affect all aircraft. <br>Usually expire after 4 hours.&nbsp;<br>Severe turbulence, severe icing, dust, sand, volcanic ash
AIRMET. Explain. List the 3 types. Who do AIRMETs apply to?	"Airmens Meteorological Information<br>Moderate turbulence and icing, sustained surface winds of 30 knots or more, or widespread restricted visibility<br>Every 6 hours<br>Sierra - Mountain obscuration&nbsp;<br>Zulu - Icing<br>Tango - Turbulence<br><br>Language about AIRMETs only applying to ""light aircraft"" has been removed. AIRMETs are now applicable to all aircraft.&nbsp;"
Application of carb heat has what effect on the fuel air mixture?	It enrinchens it. (Warmer air is less dense, meaning the same fuel volume for less dense air)
AOA	Angle of Attack is the relationship between chord line of the wing/airfoil and the relative wind&nbsp;
An aircraft is involved in an accident which results in substantial damage, when must the NTSB field office be notified?	Immediately
What kinds of in flight incidents require the NTSB be notified?	<ul><li>Overdue aircraft believed to be involved in an accident</li><li>In flight fire</li><li>Flight control malfunction or failure</li><li>Inability of a flight crew member to perform duties due to illness or injury</li><li>Failure of structural components of a turbine engine</li><li>Aircraft collision in flight</li></ul>
With respect to certfication of airmen, what are categories of aircraft?	Airplane, rotorcraft, lighter than air, glider
With respect to the certification of airmen, what are classes of aircraft?	Single engine land, single engine sea, multi engine land, multi engine sea
With respect to certification of aircraft, what are categories of aircraft?	Normal, utility, acrobatic, transport, limited, restricted, provisional<br>Grouping of aircraft based on intended use or operating limitation.&nbsp;
With respect to certification of aircraft, what is a class of aircraft?	Airplane, rotorcraft, glider balloon<br>Grouping of aircraft with similar characteristics of propulsion, flight or landing.&nbsp;
How soon after a conviction for alcohol or drugs must a pilot report to the FAA's Security and Hazardous Materials Safety Office?	Each person holding a pilot certificate shall report every motor vehicle action involving alcohol or drugs to the FAA's SHMSO no later than <u>60 days</u> after the action&nbsp;
